keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Barack Obama',en,USA,#18e8e8,#18e8e8,3,0.2360623095886743
'Selenskyj',en,Ukraine,#e818e8,#e818e8,2,0.2360439356602177
'Gabor Steingart',en,Deutschland,#1818e8,#1818e8,2,0.2354302087174241
'Friedrich Merz',en,Deutschland,#1818e8,#1818e8,3,0.2331342480701452
'Dalai Lama',en,Tibet,#111111,#111111,3,0.229547663263707
'Jack Ma',en,China,#e88818,#e88818,3,0.2254251807485522
'Bernard Arnault',en,Frankreich,#e8e808,#e8e808,3,0.2238027784379481
'Wladimir Putin',en,Russland,#e81818,#e81818,1,0.2212565286386117
'Gerhard Schröder',en,Deutschland,#1818e8,#1818e8,1,0.2199175534193196
'Robert Habeck',en,Deutschland,#1818e8,#1818e8,3,0.219827957022201
'Warren Buffett',en,USA,#18e8e8,#18e8e8,2,0.2195180810644239
'Jeff Bezos',en,USA,#18e8e8,#18e8e8,3,0.2182748552054456
'Mark Rutte',en,Niederlande,#111111,#111111,3,0.2155660343016591
'Michelle Obama',en,USA,#18e8e8,#18e8e8,3,0.2143303227779324
'Charles Michel',en,EU,#111111,#111111,3,0.2103896112766485
'König Charles III',en,UK,#e838e8,#e838e8,1,0.2086885739491194
'Mukesh Ambani',en,Indien,#111111,#111111,2,0.207879378084222
'Narendra Modi',en,Indien,#111111,#111111,3,0.2066274129436131
'Ola Källenius',en,Deutschland,#1818e8,#1818e8,1,0.2044985057301973
'Mark Zuckerberg',en,USA,#18e8e8,#18e8e8,3,0.2029919317936823
'Pedro Sánchez',en,Spanien,#111111,#111111,3,0.2025653979526381
'Annalena Baerbock',en,Deutschland,#1818e8,#1818e8,3,0.2025103015309864
'Roland Busch',en,Deutschland,#1818e8,#1818e8,1,0.2019087652568931
'Selenski',en,Ukraine,#e818e8,#e818e8,1,0.2019051987729295
'Lars Klingbeil',en,Deutschland,#1818e8,#1818e8,1,0.2002027435371569
'Xi Jinping',en,China,#e88818,#e88818,3,0.1996088260611851
'Karine Jean-Pierre',en,USA,#18e8e8,#18e8e8,3,0.1995271709756393
'Antony Blinken',en,USA,#18e8e8,#18e8e8,3,0.1990681918825269
'Boris Pistorius',en,Deutschland,#1818e8,#1818e8,3,0.1982590658752394
'Joschka Fischer',en,Deutschland,#1818e8,#1818e8,1,0.1981814986709657
'Klaus-Michael Kühne',en,Deutschland,#1818e8,#1818e8,1,0.1981075156789941
'Tamim Hamad Thani',en,Katar,#111111,#111111,1,0.1953225600778274
'Jerome Powell',en,USA,#18e8e8,#18e8e8,1,0.1950739991294
'Jan Böhmermann',en,Deutschland,#1818e8,#1818e8,2,0.1949646411231947
'Rafael Grossi',en,UN,#e888e8,#e888e8,3,0.1940986615712149
'Tino Chrupalla',en,Deutschland,#1818e8,#1818e8,2,0.1937899845784159
'Jacinda Ardern',en,Neuseeland,#1818e8,#1818e8,1,0.1936528852271206
'Greta Thunberg',en,Schweden,#111111,#111111,3,0.1933463404142239
'Saskia Esken',en,Deutschland,#1818e8,#1818e8,3,0.1922346139600651
'Viktor Orbán',en,Ungarn,#111111,#111111,3,0.1917488659698207
'Charles Koch',en,USA,#18e8e8,#18e8e8,3,0.1916957643438203
'Ali Chamenei',en,Iran,#111111,#111111,3,0.1915300192224583
'Jair Bolsonaro',en,Brasilien,#58e838,#58e848,3,0.191220077650967
'Wolodymyr Selenskyj',en,Ukraine,#e818e8,#e818e8,3,0.190339776168724
'Edward Snowden',en,USA,#18e8e8,#18e8e8,1,0.189299821846266
'Daniel Zhang',en,China,#e88818,#e88818,2,0.1891786548864231
'Rishi Sunak',en,UK,#e838e8,#e838e8,3,0.1890834447602599
'Oliver Blume',en,Deutschland,#1818e8,#1818e8,3,0.189021618034757
'Vitali Klitschko',en,Ukraine,#e818e8,#e818e8,3,0.1889048929591594
'Daniel Freund',en,EU,#111111,#111111,3,0.1888132190045975
'MacKenzie Scott',en,USA,#18e8e8,#18e8e8,2,0.1857048246347956
'Katarina Barley',en,EU,#111111,#111111,1,0.1851917272145462
'Lee Hsien Loong',en,Singapur,#111111,#111111,3,0.1849577212712249
'Lukaschenko',en,Belarus,#e81858,#e81858,3,0.1837074882022694
